Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,precision_score,Time Taken
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.033394813537597656
0.911504424778761,0.9109394703656999,0.9109394703656999,0.911504424778761,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.051473140716552734
0.9026548672566371,0.9055800756620429,0.9055800756620428,0.9028075295835302,0.8596491228070176,0.9423076923076923,0.8596491228070176,0.1299431324005127
0.9026548672566371,0.9027427490542245,0.9027427490542244,0.902716162893154,0.8867924528301887,0.9038461538461539,0.8867924528301887,0.054810285568237305
0.8938053097345132,0.8959646910466583,0.8959646910466583,0.8939719680682632,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.03705596923828125
0.8849557522123894,0.8877679697351828,0.887767969735183,0.8851361713259904,0.8421052631578947,0.9230769230769231,0.8421052631578947,0.13304877281188965
0.8849557522123894,0.8877679697351828,0.887767969735183,0.8851361713259904,0.8421052631578947,0.9230769230769231,0.8421052631578947,0.8186020851135254
0.8849557522123894,0.8877679697351828,0.887767969735183,0.8851361713259904,0.8421052631578947,0.9230769230769231,0.8421052631578947,0.04306507110595703
0.8761061946902655,0.8824085750315258,0.8824085750315259,0.8760091600683124,0.8064516129032258,0.9615384615384616,0.8064516129032258,0.026792287826538086
0.8761061946902655,0.8795712484237075,0.8795712484237075,0.8762809665159375,0.8275862068965517,0.9230769230769231,0.8275862068965517,0.17640924453735352
0.8672566371681416,0.8742118537200505,0.8742118537200505,0.8670278589478282,0.7936507936507936,0.9615384615384616,0.7936507936507936,0.047780513763427734
0.8672566371681416,0.8742118537200505,0.8742118537200505,0.8670278589478282,0.7936507936507936,0.9615384615384616,0.7936507936507936,0.016623258590698242
0.8672566371681416,0.8727931904161412,0.8727931904161412,0.8672566371681416,0.8032786885245902,0.9423076923076923,0.8032786885245902,0.014838457107543945
0.8672566371681416,0.8699558638083229,0.8699558638083229,0.8674648130684504,0.8245614035087719,0.9038461538461539,0.8245614035087719,0.023736953735351562
0.8672566371681416,0.8699558638083229,0.8699558638083229,0.8674648130684504,0.8245614035087719,0.9038461538461539,0.8245614035087719,0.038057804107666016
0.8584070796460177,0.866015132408575,0.8660151324085751,0.8580076011873387,0.78125,0.9615384615384616,0.78125,0.05458378791809082
0.8495575221238938,0.8578184110970997,0.8578184110970997,0.8489440971376507,0.7692307692307693,0.9615384615384616,0.7692307692307693,0.02495861053466797
0.8407079646017699,0.8496216897856242,0.8496216897856242,0.8398330083495826,0.7575757575757576,0.9615384615384616,0.7575757575757576,0.021714210510253906
0.8407079646017699,0.8496216897856242,0.8496216897856242,0.8398330083495826,0.7575757575757576,0.9615384615384616,0.7575757575757576,0.010087251663208008
0.8407079646017699,0.8496216897856242,0.8496216897856242,0.8398330083495826,0.7575757575757576,0.9615384615384616,0.7575757575757576,0.08762216567993164
0.831858407079646,0.8442622950819672,0.8442622950819672,0.8293367477020419,0.7323943661971831,1.0,0.7323943661971831,0.017478227615356445
0.831858407079646,0.8414249684741488,0.8414249684741488,0.830669940625328,0.746268656716418,0.9615384615384616,0.746268656716418,0.016517162322998047
0.831858407079646,0.8371689785624212,0.8371689785624211,0.8318584070796459,0.7704918032786885,0.9038461538461539,0.7704918032786885,0.025609970092773438
0.831858407079646,0.8314943253467844,0.8314943253467844,0.8319642813609024,0.8113207547169812,0.8269230769230769,0.8113207547169812,0.024001359939575195
0.8141592920353983,0.8207755359394704,0.8207755359394703,0.8138390025269594,0.746031746031746,0.9038461538461539,0.746031746031746,0.02349114418029785
0.7876106194690266,0.8032786885245902,0.8032786885245902,0.7815152609716455,0.6842105263157895,1.0,0.6842105263157895,0.043807029724121094
0.46017699115044247,0.5,0.5,0.29005095199785463,0.46017699115044247,1.0,0.46017699115044247,0.02299952507019043
